operation,locality,home_region,run,latency_ms
read,local,tienda-a,1,2.063
read,local,tienda-a,2,1.273
read,local,tienda-a,3,1.450
read,local,tienda-a,4,1.483
read,local,tienda-a,5,1.371
read,local,tienda-a,6,1.257
read,local,tienda-a,7,1.164
read,local,tienda-a,8,1.373
read,local,tienda-a,9,1.138
read,local,tienda-a,10,1.004
read,local,tienda-a,11,1.427
read,local,tienda-a,12,1.452
read,local,tienda-a,13,1.229
read,local,tienda-a,14,1.272
read,local,tienda-a,15,2.391
read,local,tienda-a,16,1.637
read,local,tienda-a,17,1.288
read,local,tienda-a,18,1.259
read,local,tienda-a,19,1.306
read,local,tienda-a,20,0.998
read,local,tienda-a,21,0.964
read,local,tienda-a,22,0.952
read,local,tienda-a,23,1.157
read,local,tienda-a,24,1.143
read,local,tienda-a,25,1.157
read,local,tienda-a,26,0.964
read,local,tienda-a,27,1.321
read,local,tienda-a,28,1.218
read,local,tienda-a,29,0.974
read,local,tienda-a,30,1.104
read,local,tienda-a,31,1.433
read,local,tienda-a,32,0.996
read,local,tienda-a,33,0.931
read,local,tienda-a,34,1.289
read,local,tienda-a,35,0.981
read,local,tienda-a,36,1.111
read,local,tienda-a,37,1.181
read,local,tienda-a,38,1.433
read,local,tienda-a,39,1.042
read,local,tienda-a,40,1.274
read,local,tienda-a,41,1.176
read,local,tienda-a,42,1.080
read,local,tienda-a,43,1.159
read,local,tienda-a,44,1.111
read,local,tienda-a,45,1.567
read,local,tienda-a,46,1.082
read,local,tienda-a,47,1.162
read,local,tienda-a,48,1.261
read,local,tienda-a,49,1.491
read,local,tienda-a,50,1.063
read,remote,tienda-b,1,2.154
read,remote,tienda-b,2,2.012
read,remote,tienda-b,3,1.694
read,remote,tienda-b,4,1.495
read,remote,tienda-b,5,1.688
read,remote,tienda-b,6,1.545
read,remote,tienda-b,7,2.123
read,remote,tienda-b,8,2.650
read,remote,tienda-b,9,1.925
read,remote,tienda-b,10,1.662
read,remote,tienda-b,11,1.822
read,remote,tienda-b,12,1.855
read,remote,tienda-b,13,2.718
read,remote,tienda-b,14,2.065
read,remote,tienda-b,15,2.365
read,remote,tienda-b,16,2.604
read,remote,tienda-b,17,2.545
read,remote,tienda-b,18,2.547
read,remote,tienda-b,19,2.602
read,remote,tienda-b,20,2.446
read,remote,tienda-b,21,2.473
read,remote,tienda-b,22,2.027
read,remote,tienda-b,23,2.084
read,remote,tienda-b,24,2.004
read,remote,tienda-b,25,1.790
read,remote,tienda-b,26,1.744
read,remote,tienda-b,27,1.946
read,remote,tienda-b,28,1.811
read,remote,tienda-b,29,1.554
read,remote,tienda-b,30,1.670
read,remote,tienda-b,31,1.569
read,remote,tienda-b,32,1.644
read,remote,tienda-b,33,1.901
read,remote,tienda-b,34,1.676
read,remote,tienda-b,35,1.823
read,remote,tienda-b,36,1.696
read,remote,tienda-b,37,1.602
read,remote,tienda-b,38,1.696
read,remote,tienda-b,39,1.760
read,remote,tienda-b,40,1.470
read,remote,tienda-b,41,1.847
read,remote,tienda-b,42,1.690
read,remote,tienda-b,43,1.607
read,remote,tienda-b,44,1.977
read,remote,tienda-b,45,3.068
read,remote,tienda-b,46,2.788
read,remote,tienda-b,47,2.118
read,remote,tienda-b,48,1.669
read,remote,tienda-b,49,1.731
read,remote,tienda-b,50,1.615
write,local,tienda-a,1,7.654
write,local,tienda-a,2,6.428
write,local,tienda-a,3,6.598
write,local,tienda-a,4,6.644
write,local,tienda-a,5,6.191
write,local,tienda-a,6,8.867
write,local,tienda-a,7,6.718
write,local,tienda-a,8,6.674
write,local,tienda-a,9,6.854
write,local,tienda-a,10,6.224
write,local,tienda-a,11,6.515
write,local,tienda-a,12,5.664
write,local,tienda-a,13,6.490
write,local,tienda-a,14,7.070
write,local,tienda-a,15,6.795
write,local,tienda-a,16,6.437
write,local,tienda-a,17,6.539
write,local,tienda-a,18,5.723
write,local,tienda-a,19,6.790
write,local,tienda-a,20,6.361
write,local,tienda-a,21,6.495
write,local,tienda-a,22,6.019
write,local,tienda-a,23,5.548
write,local,tienda-a,24,5.536
write,local,tienda-a,25,6.441
write,local,tienda-a,26,5.585
write,local,tienda-a,27,5.992
write,local,tienda-a,28,6.457
write,local,tienda-a,29,6.698
write,local,tienda-a,30,6.383
write,local,tienda-a,31,6.530
write,local,tienda-a,32,6.801
write,local,tienda-a,33,5.928
write,local,tienda-a,34,5.799
write,local,tienda-a,35,6.473
write,local,tienda-a,36,6.448
write,local,tienda-a,37,6.274
write,local,tienda-a,38,6.399
write,local,tienda-a,39,6.211
write,local,tienda-a,40,6.178
write,local,tienda-a,41,6.695
write,local,tienda-a,42,6.477
write,local,tienda-a,43,5.984
write,local,tienda-a,44,6.495
write,local,tienda-a,45,6.454
write,local,tienda-a,46,6.421
write,local,tienda-a,47,6.841
write,local,tienda-a,48,6.578
write,local,tienda-a,49,6.985
write,local,tienda-a,50,5.338
write,remote,tienda-b,1,7.124
write,remote,tienda-b,2,6.601
write,remote,tienda-b,3,6.806
write,remote,tienda-b,4,6.563
write,remote,tienda-b,5,9.085
write,remote,tienda-b,6,6.926
write,remote,tienda-b,7,6.173
write,remote,tienda-b,8,6.442
write,remote,tienda-b,9,6.772
write,remote,tienda-b,10,6.935
write,remote,tienda-b,11,7.052
write,remote,tienda-b,12,6.724
write,remote,tienda-b,13,6.520
write,remote,tienda-b,14,6.951
write,remote,tienda-b,15,6.570
write,remote,tienda-b,16,6.751
write,remote,tienda-b,17,7.173
write,remote,tienda-b,18,6.800
write,remote,tienda-b,19,6.270
write,remote,tienda-b,20,6.137
write,remote,tienda-b,21,6.754
write,remote,tienda-b,22,6.710
write,remote,tienda-b,23,6.783
write,remote,tienda-b,24,6.460
write,remote,tienda-b,25,7.343
write,remote,tienda-b,26,6.199
write,remote,tienda-b,27,6.309
write,remote,tienda-b,28,6.509
write,remote,tienda-b,29,7.689
write,remote,tienda-b,30,6.563
write,remote,tienda-b,31,6.539
write,remote,tienda-b,32,6.452
write,remote,tienda-b,33,6.271
write,remote,tienda-b,34,6.979
write,remote,tienda-b,35,6.168
write,remote,tienda-b,36,6.685
write,remote,tienda-b,37,6.064
write,remote,tienda-b,38,6.852
write,remote,tienda-b,39,6.721
write,remote,tienda-b,40,6.107
write,remote,tienda-b,41,9.615
write,remote,tienda-b,42,6.857
write,remote,tienda-b,43,6.753
write,remote,tienda-b,44,7.330
write,remote,tienda-b,45,6.449
write,remote,tienda-b,46,6.378
write,remote,tienda-b,47,6.718
write,remote,tienda-b,48,6.965
write,remote,tienda-b,49,7.636
write,remote,tienda-b,50,6.981
