operation,locality,home_region,run,latency_ms
read,local,tienda-a,1,0.778
read,local,tienda-a,2,0.438
read,local,tienda-a,3,0.410
read,local,tienda-a,4,0.381
read,local,tienda-a,5,0.434
read,local,tienda-a,6,0.499
read,local,tienda-a,7,0.489
read,local,tienda-a,8,0.472
read,local,tienda-a,9,0.573
read,local,tienda-a,10,0.461
read,local,tienda-a,11,0.428
read,local,tienda-a,12,0.363
read,local,tienda-a,13,0.381
read,local,tienda-a,14,0.399
read,local,tienda-a,15,0.371
read,local,tienda-a,16,0.372
read,local,tienda-a,17,0.489
read,local,tienda-a,18,0.391
read,local,tienda-a,19,0.396
read,local,tienda-a,20,0.426
read,local,tienda-a,21,0.578
read,local,tienda-a,22,0.408
read,local,tienda-a,23,0.483
read,local,tienda-a,24,0.413
read,local,tienda-a,25,0.450
read,local,tienda-a,26,0.444
read,local,tienda-a,27,0.404
read,local,tienda-a,28,0.387
read,local,tienda-a,29,0.399
read,local,tienda-a,30,0.409
read,local,tienda-a,31,0.377
read,local,tienda-a,32,0.394
read,local,tienda-a,33,0.375
read,local,tienda-a,34,0.378
read,local,tienda-a,35,0.457
read,local,tienda-a,36,0.502
read,local,tienda-a,37,0.519
read,local,tienda-a,38,0.455
read,local,tienda-a,39,0.494
read,local,tienda-a,40,0.374
read,local,tienda-a,41,0.501
read,local,tienda-a,42,0.458
read,local,tienda-a,43,0.429
read,local,tienda-a,44,0.395
read,local,tienda-a,45,0.423
read,local,tienda-a,46,0.402
read,local,tienda-a,47,0.472
read,local,tienda-a,48,0.384
read,local,tienda-a,49,0.413
read,local,tienda-a,50,0.438
read,remote,tienda-b,1,0.730
read,remote,tienda-b,2,0.780
read,remote,tienda-b,3,0.790
read,remote,tienda-b,4,0.794
read,remote,tienda-b,5,0.733
read,remote,tienda-b,6,0.727
read,remote,tienda-b,7,0.769
read,remote,tienda-b,8,0.832
read,remote,tienda-b,9,0.894
read,remote,tienda-b,10,0.941
read,remote,tienda-b,11,0.847
read,remote,tienda-b,12,0.771
read,remote,tienda-b,13,0.750
read,remote,tienda-b,14,0.741
read,remote,tienda-b,15,0.729
read,remote,tienda-b,16,0.684
read,remote,tienda-b,17,0.730
read,remote,tienda-b,18,0.799
read,remote,tienda-b,19,0.842
read,remote,tienda-b,20,0.734
read,remote,tienda-b,21,0.704
read,remote,tienda-b,22,0.703
read,remote,tienda-b,23,0.733
read,remote,tienda-b,24,0.734
read,remote,tienda-b,25,0.797
read,remote,tienda-b,26,0.734
read,remote,tienda-b,27,0.736
read,remote,tienda-b,28,0.716
read,remote,tienda-b,29,0.815
read,remote,tienda-b,30,0.938
read,remote,tienda-b,31,0.841
read,remote,tienda-b,32,0.798
read,remote,tienda-b,33,0.786
read,remote,tienda-b,34,0.817
read,remote,tienda-b,35,0.788
read,remote,tienda-b,36,0.816
read,remote,tienda-b,37,0.737
read,remote,tienda-b,38,0.726
read,remote,tienda-b,39,0.694
read,remote,tienda-b,40,0.682
read,remote,tienda-b,41,0.718
read,remote,tienda-b,42,0.796
read,remote,tienda-b,43,0.804
read,remote,tienda-b,44,0.766
read,remote,tienda-b,45,0.720
read,remote,tienda-b,46,0.750
read,remote,tienda-b,47,0.763
read,remote,tienda-b,48,0.758
read,remote,tienda-b,49,0.738
read,remote,tienda-b,50,0.922
write,local,tienda-a,1,3.721
write,local,tienda-a,2,3.486
write,local,tienda-a,3,3.345
write,local,tienda-a,4,3.697
write,local,tienda-a,5,3.253
write,local,tienda-a,6,3.403
write,local,tienda-a,7,3.460
write,local,tienda-a,8,3.489
write,local,tienda-a,9,3.516
write,local,tienda-a,10,3.404
write,local,tienda-a,11,3.355
write,local,tienda-a,12,3.847
write,local,tienda-a,13,3.346
write,local,tienda-a,14,3.401
write,local,tienda-a,15,3.410
write,local,tienda-a,16,3.514
write,local,tienda-a,17,3.514
write,local,tienda-a,18,3.404
write,local,tienda-a,19,3.310
write,local,tienda-a,20,3.368
write,local,tienda-a,21,3.354
write,local,tienda-a,22,3.500
write,local,tienda-a,23,3.481
write,local,tienda-a,24,3.309
write,local,tienda-a,25,3.390
write,local,tienda-a,26,3.501
write,local,tienda-a,27,3.496
write,local,tienda-a,28,3.386
write,local,tienda-a,29,3.668
write,local,tienda-a,30,3.595
write,local,tienda-a,31,3.413
write,local,tienda-a,32,3.555
write,local,tienda-a,33,3.335
write,local,tienda-a,34,3.468
write,local,tienda-a,35,3.447
write,local,tienda-a,36,3.179
write,local,tienda-a,37,3.443
write,local,tienda-a,38,4.278
write,local,tienda-a,39,4.325
write,local,tienda-a,40,3.576
write,local,tienda-a,41,3.278
write,local,tienda-a,42,3.200
write,local,tienda-a,43,3.284
write,local,tienda-a,44,3.346
write,local,tienda-a,45,3.458
write,local,tienda-a,46,4.441
write,local,tienda-a,47,4.292
write,local,tienda-a,48,4.183
write,local,tienda-a,49,3.733
write,local,tienda-a,50,3.326
write,remote,tienda-b,1,7.634
write,remote,tienda-b,2,4.745
write,remote,tienda-b,3,4.675
write,remote,tienda-b,4,4.597
write,remote,tienda-b,5,5.675
write,remote,tienda-b,6,4.294
write,remote,tienda-b,7,4.508
write,remote,tienda-b,8,3.844
write,remote,tienda-b,9,3.958
write,remote,tienda-b,10,3.780
write,remote,tienda-b,11,4.105
write,remote,tienda-b,12,3.985
write,remote,tienda-b,13,3.692
write,remote,tienda-b,14,3.782
write,remote,tienda-b,15,4.068
write,remote,tienda-b,16,3.791
write,remote,tienda-b,17,3.799
write,remote,tienda-b,18,3.727
write,remote,tienda-b,19,4.219
write,remote,tienda-b,20,4.114
write,remote,tienda-b,21,3.765
write,remote,tienda-b,22,3.637
write,remote,tienda-b,23,3.602
write,remote,tienda-b,24,3.930
write,remote,tienda-b,25,3.596
write,remote,tienda-b,26,3.552
write,remote,tienda-b,27,3.834
write,remote,tienda-b,28,4.021
write,remote,tienda-b,29,3.758
write,remote,tienda-b,30,3.803
write,remote,tienda-b,31,3.716
write,remote,tienda-b,32,3.707
write,remote,tienda-b,33,3.845
write,remote,tienda-b,34,3.626
write,remote,tienda-b,35,3.700
write,remote,tienda-b,36,3.639
write,remote,tienda-b,37,3.660
write,remote,tienda-b,38,3.509
write,remote,tienda-b,39,3.753
write,remote,tienda-b,40,3.886
write,remote,tienda-b,41,3.736
write,remote,tienda-b,42,3.641
write,remote,tienda-b,43,3.664
write,remote,tienda-b,44,3.796
write,remote,tienda-b,45,3.644
write,remote,tienda-b,46,3.722
write,remote,tienda-b,47,3.899
write,remote,tienda-b,48,3.635
write,remote,tienda-b,49,3.629
write,remote,tienda-b,50,3.669
