operation,locality,home_region,run,latency_ms
read,local,tienda-a,1,0.870
read,local,tienda-a,2,0.491
read,local,tienda-a,3,0.442
read,local,tienda-a,4,0.399
read,local,tienda-a,5,0.378
read,local,tienda-a,6,0.400
read,local,tienda-a,7,0.369
read,local,tienda-a,8,0.381
read,local,tienda-a,9,0.364
read,local,tienda-a,10,0.418
read,local,tienda-a,11,0.441
read,local,tienda-a,12,0.493
read,local,tienda-a,13,0.521
read,local,tienda-a,14,0.458
read,local,tienda-a,15,0.372
read,local,tienda-a,16,0.464
read,local,tienda-a,17,0.399
read,local,tienda-a,18,0.385
read,local,tienda-a,19,0.409
read,local,tienda-a,20,0.393
read,local,tienda-a,21,0.413
read,local,tienda-a,22,0.371
read,local,tienda-a,23,0.391
read,local,tienda-a,24,0.381
read,local,tienda-a,25,0.367
read,local,tienda-a,26,0.377
read,local,tienda-a,27,0.377
read,local,tienda-a,28,0.378
read,local,tienda-a,29,0.354
read,local,tienda-a,30,0.434
read,local,tienda-a,31,0.381
read,local,tienda-a,32,0.410
read,local,tienda-a,33,0.386
read,local,tienda-a,34,0.377
read,local,tienda-a,35,0.368
read,local,tienda-a,36,0.430
read,local,tienda-a,37,0.359
read,local,tienda-a,38,0.405
read,local,tienda-a,39,0.344
read,local,tienda-a,40,0.451
read,local,tienda-a,41,0.445
read,local,tienda-a,42,0.487
read,local,tienda-a,43,0.412
read,local,tienda-a,44,0.406
read,local,tienda-a,45,0.383
read,local,tienda-a,46,0.375
read,local,tienda-a,47,0.379
read,local,tienda-a,48,0.391
read,local,tienda-a,49,0.409
read,local,tienda-a,50,0.473
read,remote,tienda-b,1,0.734
read,remote,tienda-b,2,0.785
read,remote,tienda-b,3,0.775
read,remote,tienda-b,4,0.927
read,remote,tienda-b,5,0.890
read,remote,tienda-b,6,0.779
read,remote,tienda-b,7,0.692
read,remote,tienda-b,8,0.754
read,remote,tienda-b,9,0.846
read,remote,tienda-b,10,1.132
read,remote,tienda-b,11,1.443
read,remote,tienda-b,12,1.489
read,remote,tienda-b,13,1.405
read,remote,tienda-b,14,1.359
read,remote,tienda-b,15,1.399
read,remote,tienda-b,16,1.337
read,remote,tienda-b,17,1.378
read,remote,tienda-b,18,1.153
read,remote,tienda-b,19,1.062
read,remote,tienda-b,20,0.960
read,remote,tienda-b,21,0.917
read,remote,tienda-b,22,0.871
read,remote,tienda-b,23,0.821
read,remote,tienda-b,24,0.818
read,remote,tienda-b,25,0.812
read,remote,tienda-b,26,0.911
read,remote,tienda-b,27,0.852
read,remote,tienda-b,28,0.801
read,remote,tienda-b,29,0.788
read,remote,tienda-b,30,0.791
read,remote,tienda-b,31,0.768
read,remote,tienda-b,32,0.772
read,remote,tienda-b,33,0.751
read,remote,tienda-b,34,0.861
read,remote,tienda-b,35,1.002
read,remote,tienda-b,36,0.907
read,remote,tienda-b,37,0.833
read,remote,tienda-b,38,0.809
read,remote,tienda-b,39,0.787
read,remote,tienda-b,40,0.805
read,remote,tienda-b,41,0.956
read,remote,tienda-b,42,0.861
read,remote,tienda-b,43,0.834
read,remote,tienda-b,44,0.797
read,remote,tienda-b,45,0.832
read,remote,tienda-b,46,0.914
read,remote,tienda-b,47,0.832
read,remote,tienda-b,48,0.798
read,remote,tienda-b,49,0.738
read,remote,tienda-b,50,0.701
write,local,tienda-a,1,3.663
write,local,tienda-a,2,3.340
write,local,tienda-a,3,3.518
write,local,tienda-a,4,8.444
write,local,tienda-a,5,3.385
write,local,tienda-a,6,3.474
write,local,tienda-a,7,3.006
write,local,tienda-a,8,3.300
write,local,tienda-a,9,3.230
write,local,tienda-a,10,4.058
write,local,tienda-a,11,4.417
write,local,tienda-a,12,3.358
write,local,tienda-a,13,3.130
write,local,tienda-a,14,3.241
write,local,tienda-a,15,3.417
write,local,tienda-a,16,3.184
write,local,tienda-a,17,3.252
write,local,tienda-a,18,3.068
write,local,tienda-a,19,3.491
write,local,tienda-a,20,3.008
write,local,tienda-a,21,3.316
write,local,tienda-a,22,2.916
write,local,tienda-a,23,3.342
write,local,tienda-a,24,3.292
write,local,tienda-a,25,2.969
write,local,tienda-a,26,3.189
write,local,tienda-a,27,3.287
write,local,tienda-a,28,3.297
write,local,tienda-a,29,3.120
write,local,tienda-a,30,3.234
write,local,tienda-a,31,3.073
write,local,tienda-a,32,3.402
write,local,tienda-a,33,3.098
write,local,tienda-a,34,3.094
write,local,tienda-a,35,2.932
write,local,tienda-a,36,3.376
write,local,tienda-a,37,4.379
write,local,tienda-a,38,3.929
write,local,tienda-a,39,3.526
write,local,tienda-a,40,3.212
write,local,tienda-a,41,3.508
write,local,tienda-a,42,3.205
write,local,tienda-a,43,3.109
write,local,tienda-a,44,3.432
write,local,tienda-a,45,3.130
write,local,tienda-a,46,3.146
write,local,tienda-a,47,3.266
write,local,tienda-a,48,3.127
write,local,tienda-a,49,3.331
write,local,tienda-a,50,3.237
write,remote,tienda-b,1,4.787
write,remote,tienda-b,2,4.297
write,remote,tienda-b,3,4.486
write,remote,tienda-b,4,4.077
write,remote,tienda-b,5,4.260
write,remote,tienda-b,6,4.660
write,remote,tienda-b,7,4.929
write,remote,tienda-b,8,5.455
write,remote,tienda-b,9,4.777
write,remote,tienda-b,10,5.106
write,remote,tienda-b,11,4.444
write,remote,tienda-b,12,4.719
write,remote,tienda-b,13,4.966
write,remote,tienda-b,14,4.527
write,remote,tienda-b,15,4.802
write,remote,tienda-b,16,5.208
write,remote,tienda-b,17,4.656
write,remote,tienda-b,18,4.823
write,remote,tienda-b,19,5.104
write,remote,tienda-b,20,4.735
write,remote,tienda-b,21,4.341
write,remote,tienda-b,22,4.115
write,remote,tienda-b,23,3.971
write,remote,tienda-b,24,3.917
write,remote,tienda-b,25,3.968
write,remote,tienda-b,26,3.900
write,remote,tienda-b,27,4.006
write,remote,tienda-b,28,3.875
write,remote,tienda-b,29,4.087
write,remote,tienda-b,30,3.957
write,remote,tienda-b,31,3.864
write,remote,tienda-b,32,3.896
write,remote,tienda-b,33,4.457
write,remote,tienda-b,34,4.604
write,remote,tienda-b,35,4.729
write,remote,tienda-b,36,8.584
write,remote,tienda-b,37,5.701
write,remote,tienda-b,38,4.709
write,remote,tienda-b,39,4.255
write,remote,tienda-b,40,4.881
write,remote,tienda-b,41,4.459
write,remote,tienda-b,42,4.147
write,remote,tienda-b,43,3.984
write,remote,tienda-b,44,3.714
write,remote,tienda-b,45,3.845
write,remote,tienda-b,46,3.959
write,remote,tienda-b,47,3.653
write,remote,tienda-b,48,3.520
write,remote,tienda-b,49,3.711
write,remote,tienda-b,50,4.235
