operation,locality,home_region,run,latency_ms
read,local,tienda-a,1,0.276
read,local,tienda-a,2,0.174
read,local,tienda-a,3,0.117
read,local,tienda-a,4,0.162
read,local,tienda-a,5,0.104
read,local,tienda-a,6,0.091
read,local,tienda-a,7,0.080
read,local,tienda-a,8,0.076
read,local,tienda-a,9,0.076
read,local,tienda-a,10,0.076
read,local,tienda-a,11,0.110
read,local,tienda-a,12,0.088
read,local,tienda-a,13,0.078
read,local,tienda-a,14,0.109
read,local,tienda-a,15,0.131
read,local,tienda-a,16,0.126
read,local,tienda-a,17,0.120
read,local,tienda-a,18,0.088
read,local,tienda-a,19,0.079
read,local,tienda-a,20,0.078
read,local,tienda-a,21,0.086
read,local,tienda-a,22,0.082
read,local,tienda-a,23,0.077
read,local,tienda-a,24,0.076
read,local,tienda-a,25,0.075
read,local,tienda-a,26,0.076
read,local,tienda-a,27,0.076
read,local,tienda-a,28,0.075
read,local,tienda-a,29,0.075
read,local,tienda-a,30,0.075
read,local,tienda-a,31,0.075
read,local,tienda-a,32,0.075
read,local,tienda-a,33,0.075
read,local,tienda-a,34,0.075
read,local,tienda-a,35,0.074
read,local,tienda-a,36,0.075
read,local,tienda-a,37,0.075
read,local,tienda-a,38,0.075
read,local,tienda-a,39,0.075
read,local,tienda-a,40,0.075
read,local,tienda-a,41,0.075
read,local,tienda-a,42,0.090
read,local,tienda-a,43,0.101
read,local,tienda-a,44,0.084
read,local,tienda-a,45,0.077
read,local,tienda-a,46,0.077
read,local,tienda-a,47,0.109
read,local,tienda-a,48,0.089
read,local,tienda-a,49,0.077
read,local,tienda-a,50,0.078
read,remote,tienda-b,1,0.088
read,remote,tienda-b,2,0.078
read,remote,tienda-b,3,0.077
read,remote,tienda-b,4,0.100
read,remote,tienda-b,5,0.075
read,remote,tienda-b,6,0.075
read,remote,tienda-b,7,0.074
read,remote,tienda-b,8,0.074
read,remote,tienda-b,9,0.074
read,remote,tienda-b,10,0.076
read,remote,tienda-b,11,0.076
read,remote,tienda-b,12,0.074
read,remote,tienda-b,13,0.074
read,remote,tienda-b,14,0.074
read,remote,tienda-b,15,0.074
read,remote,tienda-b,16,0.075
read,remote,tienda-b,17,0.074
read,remote,tienda-b,18,0.074
read,remote,tienda-b,19,0.073
read,remote,tienda-b,20,0.074
read,remote,tienda-b,21,0.075
read,remote,tienda-b,22,0.074
read,remote,tienda-b,23,0.074
read,remote,tienda-b,24,0.077
read,remote,tienda-b,25,0.075
read,remote,tienda-b,26,0.074
read,remote,tienda-b,27,0.075
read,remote,tienda-b,28,0.076
read,remote,tienda-b,29,0.104
read,remote,tienda-b,30,0.133
read,remote,tienda-b,31,0.105
read,remote,tienda-b,32,0.085
read,remote,tienda-b,33,0.119
read,remote,tienda-b,34,0.126
read,remote,tienda-b,35,0.093
read,remote,tienda-b,36,0.080
read,remote,tienda-b,37,0.076
read,remote,tienda-b,38,0.075
read,remote,tienda-b,39,0.075
read,remote,tienda-b,40,0.075
read,remote,tienda-b,41,0.075
read,remote,tienda-b,42,0.074
read,remote,tienda-b,43,0.076
read,remote,tienda-b,44,0.075
read,remote,tienda-b,45,0.075
read,remote,tienda-b,46,0.076
read,remote,tienda-b,47,0.081
read,remote,tienda-b,48,0.076
read,remote,tienda-b,49,0.168
read,remote,tienda-b,50,0.094
write,local,tienda-a,1,1.550
write,local,tienda-a,2,1.491
write,local,tienda-a,3,1.538
write,local,tienda-a,4,1.442
write,local,tienda-a,5,1.386
write,local,tienda-a,6,1.497
write,local,tienda-a,7,1.447
write,local,tienda-a,8,1.476
write,local,tienda-a,9,1.443
write,local,tienda-a,10,1.455
write,local,tienda-a,11,1.485
write,local,tienda-a,12,1.413
write,local,tienda-a,13,1.445
