operation,locality,home_region,run,latency_ms
read,local,tienda-a,1,4.895
read,local,tienda-a,2,2.169
read,local,tienda-a,3,2.004
read,local,tienda-a,4,2.057
read,local,tienda-a,5,1.875
read,local,tienda-a,6,1.885
read,local,tienda-a,7,1.554
read,local,tienda-a,8,1.599
read,local,tienda-a,9,1.807
read,local,tienda-a,10,1.540
read,local,tienda-a,11,1.970
read,local,tienda-a,12,1.795
read,local,tienda-a,13,2.234
read,local,tienda-a,14,1.807
read,local,tienda-a,15,1.666
read,local,tienda-a,16,2.174
read,local,tienda-a,17,1.702
read,local,tienda-a,18,1.740
read,local,tienda-a,19,1.876
read,local,tienda-a,20,1.833
read,local,tienda-a,21,1.773
read,local,tienda-a,22,2.162
read,local,tienda-a,23,2.388
read,local,tienda-a,24,2.198
read,local,tienda-a,25,2.373
read,local,tienda-a,26,2.353
read,local,tienda-a,27,2.163
read,local,tienda-a,28,1.730
read,local,tienda-a,29,1.665
read,local,tienda-a,30,1.762
read,local,tienda-a,31,1.748
read,local,tienda-a,32,1.625
read,local,tienda-a,33,1.681
read,local,tienda-a,34,1.573
read,local,tienda-a,35,2.189
read,local,tienda-a,36,1.674
read,local,tienda-a,37,1.724
read,local,tienda-a,38,29.078
read,local,tienda-a,39,3.171
read,local,tienda-a,40,4.436
read,local,tienda-a,41,3.746
read,local,tienda-a,42,4.272
read,local,tienda-a,43,3.645
read,local,tienda-a,44,3.170
read,local,tienda-a,45,2.779
read,local,tienda-a,46,2.760
read,local,tienda-a,47,2.514
read,local,tienda-a,48,2.445
read,local,tienda-a,49,2.526
read,local,tienda-a,50,2.539
read,remote,tienda-b,1,3.588
read,remote,tienda-b,2,3.439
read,remote,tienda-b,3,3.525
read,remote,tienda-b,4,4.022
read,remote,tienda-b,5,3.389
read,remote,tienda-b,6,3.281
read,remote,tienda-b,7,3.143
read,remote,tienda-b,8,3.312
read,remote,tienda-b,9,3.148
read,remote,tienda-b,10,3.106
read,remote,tienda-b,11,3.066
read,remote,tienda-b,12,2.791
read,remote,tienda-b,13,2.718
read,remote,tienda-b,14,2.988
read,remote,tienda-b,15,3.007
read,remote,tienda-b,16,3.323
read,remote,tienda-b,17,2.994
read,remote,tienda-b,18,3.087
read,remote,tienda-b,19,3.025
read,remote,tienda-b,20,3.203
read,remote,tienda-b,21,4.167
read,remote,tienda-b,22,3.592
read,remote,tienda-b,23,3.410
